六四|Sixty-four
胡耀邦|Hu Yaobang
华岳|Huayue
回民|Hui
慧网|Hui network
集会|Assembly
监听器|Monitor
江泽民|Jiang
疆独|East Turkistan separatists
讲法|Argument
戒严|Martial law
警察|Police
抗议|Protest
李長春|Li Changchun
李洪志|Li Hongzhi
李克强|Li Keqiang
李岚清|Li
李瑞环|Li
李小鹏|Li Xiaopeng
李长春|Li Changchun
梁光烈|Liang Guanglie
两会|Two sessions
论坛|Forum
卖国|Traitorous
民进党|DPP
民运|MDC
民阵|DFLP
民主|Democracy
穆斯林|Muslim
迫害|Persecution
气枪|Air gun
热比娅|Rebiya Kadeer
人权|Human rights
任畹町|Ren Wanding
社区|Community
圣战|Crusade
示威|Demonstrate
台湾|Taiwan
太子党|Princelings
天怒|Wrath
田纪云|Tian
铁流|Tieliu
统战|United Front
推翻|Overthrow
退党|Resign
王希哲|Xizhe
网特|Network Special
魏京生|Wei Jingsheng
温云松|Wen Yunsong
文革|Revolution
乌尔开西|Open ur West
无帮国|No help country
吴邦国|Wu Bangguo
吳邦國|Wu Bangguo
伍凡|Wu Fan
勿忘六四|Do not forget sixty-four
西藏|Tibet
辛灏年|Mr. Xin
新党|New Party
新疆|Xinjiang
新唐人|NTDTV
新闻封锁|News blackout
新闻管制|Censorship
修炼|Practice
许志勇|Xu Zhiyong
学联|ACSF
学运|Student movement
血腥镇压|Bloody crackdown
杨东平|Yang Dongping
游行|Parade
炸弹|Bomb
炸药|Dynamite
张祖桦|Zhang Zuhua
政府|Government
支持|Stand by
中共|Chinese Communist Party
中南海|Zhongnanhai
朱容基|Zhu Rongji
朱鎔基|Zhu
主席|Chairman
自焚|Self-burning
胡锦涛|Hu
温家宝|Wen
贾庆林|Jia Qinglin
习近平|Xi Jinping
周永康|Zhou Yongkang
08xianzhang|
08县长|08 county
鲍筒|Bao barrel
北京当局|Beijing authorities
北京新报|Beijing Daily News
北京政权|Beijing regime
贬卖枪支|Derogatory sell firearms
柴玲|Chai Ling
陈小雅|Xiaoya Chen
成人电影网|Adult Movie Network
吃屎|Shit
持不同政见|Dissident
出售枪支|Sale of firearms
春夏之交|Spring and summer
打砸抢|Vandalism
大参考|Large reference
大陆民运|Continental pro
地下赌庄|Underground gambling Zhuang
杜兆勇|Du Zhaoyong
多维|Multidimensional
法轮大法|Falun Dafa
法轮功|Falun Gong
法轮正法|Falun Dhamma
反共|Anticommunist
范珍致|Fan Zhen cause
方觉|Fang Jue
肥b|Fat B
夫妻共插|Husband and wife co-plug
高景云|High King Wan
高文谦|High Wenqian
高自联|High self-linking
共铲党|Total shovel party
关舟|Off boat
国企大厦18层|State-owned 18-storey building
海外民运|Overseas democracy movement
何德普|He Depu
何清涟|He Qinglian
红色恐怖|Red Terror
洪吟|Hong Yin
洪志|Hongzhi
华惠棋|Hua Hui chess
回民暴动|Moslem riots
激情成人论坛|Passion Adult Forum
建联通|ImGO
江锦恒|Jiang Jinheng
江责民|Jiang Min responsibility
姜洪禄|Jiang Honglu
刻章办证发票|Rush invoice engraving
空中民主墙|Air Democracy Wall
老虎机破解中心|Slot machine crack center
李宏志|LI Hong-zhi
李宏治|Li governance
李旺阳|Li Wangyang
李月鸟|Li Yue birds
李志绥|Li Zhisui
李智英|Jee Young Lee
里藏春|In possession of the spring
林幼芳|Lin Youfang
刘凤钢|Liu steel
刘军宁|Liu Junning
刘文胜|Liu Wensheng
吕加平|Lu Jiaping
裸干|Bare Dry
民主潮|Democratic tide
民主墙|Democracy Wall
明hui|Ming hui
明慧|Minghui
明心|Ming heart
南华早报|South China Morning Post
破解水果机|Cracked fruit machine
情色俱乐部|Erotic club
色情俱乐部|Erotic club
石戈|Shi Ge
视频处女|Video Virgin
视频脱衣|Video Strip
苏晓康|Su Xiaokang
孙大午|Sun Dawu
天灭中共|Communist days off
退出共|Exit Total
退出中共的党|Quit Communist Party
退谠|Retreat Dang
脱光性交图|Figure naked sex
王丹|Wang Dan
王美茹|Wang Meiru
温加饱|Wen added saturated
温元凯|Wenyuan Kai
吾尔凯希|I 尔凯希
西藏独立|Tibet independence
谢小庆|Xie Xiaoqing
新疆独立|Xinjiang independence
徐永海|Xu Yonghai
严家其|Yan Jiaqi
杨春波|Yang Chunbo
杨子立|Yang Zili
余杰|Yu Jie
舆论钳制|Opinion clamp
张博函|Zhang Bo letter
张博涵|Zhang Bohan
张搏函|Zhang letter stroke
张搏涵|Zhang Han stroke
张桂芳|Land Management Act
张京生|Zhang Jingsheng
张晓平|ZhangXiaoping
张星水|Zhang Xing water
章虹|Zhang Hong
政治反对派|Political opposition
政治犯|Political
中国民主党|China Democratic Party
中国之春|China Spring
中宣部|Propaganda
朱胜文|Zhu Shengwen
朱穗生|Zhusui Sheng
朱文虎|Zhu Wenhu
转法轮|Zhuan Falun
自由花|Freedom Flower
测试a|Test A
sinauc|
sina uc|
sina uc|
新浪uc|Sina UC
黄片|Porn
阴茎|Penis
卖身|Bondage
操你|Fuck you
操他|He parade
a片|A piece
性伴侣|Sex partner
鸡巴|Cock
茎候佳阴|Jinghoujiayin
裸聊|Nude chat
luo聊|LUO chat
luo体视频|LUO body video
裸体视频|Nude video
性伙伴|Sexual partners
婊子|Whore
妓|Prostitute
新浪|Sina
系统消息|System Messages
系统通知|System Notification
uc巡管|UC patrol tube
系统管理员|System administrator
uc高管|UC executives
uc员工|UC staff
温馨提示|Tips
uc通知|UC notice
系统抽奖|Lottery system
在线管理|Online Management
10000|
系统公告|System Announcement
系统提示|Prompted
消息系统|Messaging System
消息提示|News Tip
三去|Three to go
活动提示|Activity Tips
提示|Prompt
公告|Announcement
uc-公告|UC- Announcement
台湾独立|Taiwan independence
共产党|Communist party
抵制奥运|Olympic boycott
反对奥运|Oppose the Olympics
活动信息|Event Information
放片|Release tablets
uc活动|UC Activities
新浪提示|Sina Tips
活动官方|Activities Official
ruihuan|
sars|
taidu|
webmaster|
k粉|k powder
系统信息|System Information
暴乱|Riot
操她|Fuck Her
插进|Inserted
陈良宇|Chen Liangyu
陈良玉|Chen Liangyu
陈水扁|Chen Shui-bian
抽插|Choucha
出台|Introduction
处女膜|Hymen
大陆当局|Mainland authorities
党国|State party
电聊|Electric chat
东突|East Turkistan
二奶|Mistress
反攻大陆|Retake the mainland
富妹|Fu-mei
富女|Rich women
肛交|Anal sex
肛门|Anus
高潮|Climax
共军|Communist troops
龟头|Glans
韩桂芝|Han Guizhi
韩贵芝|Han Guizhi
红顶商人|Hongdingshangren
红岗|Honggang
侯杰|Hou Jie
华莱士|Wallace
换妻|Wife Swap
黄教授|Professor Wong
鸡吧|Helping of chicken
姬胜德|Ji Shengde
几吧|Several bars
妓女|Prostitute
奸污|Rape
贱b|Cheap B
江公子|Jiang Gongzi
叫床|Jiaochuang
军队走私|Army smuggling
军妓|Prostitutes
来京上访|Beijing to petition
浪女|Sluts
老毛|Mao
李大师|Master Li
李登辉|Lee Teng-hui
李鹏|Li Peng
刘刚|Gang
刘杰告状|Liu Jie complain
刘金宝|Liu Jinbao
罗干|Luo Gan
马强|Ma Qiang
茅道临|Mao Daolin
美妇|Meifu
纳粹|Nazi
陪酒|Hostessing
强暴|Violent
禽流感|Avian Influenza
情色|Erotic
群奸|Gang rape
人民报|De Volkskrant
人之初|People at the beginning
肉棍|Rougun
肉穴|Rouxue
骚穴|Saoxue
上海帮|Shanghai Gang
呻吟|Moan
深喉|Deep Throat
生活情趣|Zest for life
十六大|Congress
吮吸|Suck
私处|Privates
四通|Stone
宋祖英|Zuying
苏锈文|Su Wen rust
苏秀文|Su Xiuwen
台独|Independence
陶驷驹|Tao Siju
体位|Position
天安门事件|Tiananmen Incident
天上人间|Heaven on earth
脱光|Naked
脱衣|Divestiture
晚年周|Week old age
万润南|Mason South
文化大革命|Cultural Revolution
文学城|Literary City
我是回民|I was Hui
吴官正|Wu
吴仪|Wu
下体|Nakedness
香港明报|Ming Pao
项怀城|Xiang City
消魂|Ecstasy
小参考|Small reference
小穴|Koana
小姨子|Sister
肖爱玲|Xiao Ailing
性爱|Eros
性福|Flirt
性技巧|Sexual skills
性生活|Sex life
徐匡迪|Xu
阳具|Penis
摇头丸|Ecstasy
一边一国|Each side
一九八九|One thousand nine hundred eighty-nine
一中一台|One Taiwan
伊斯兰|Islam
以德治国|By Virtue
阴唇|Labia
阴道|Vagina
淫荡|Lewd
隐私|Privacy
赵启正|Zhao
郑恩宠|Zheng Enchong
支那|Shina
中华民国|Republic of China
中银香港|BOCHK
周国强|Zhou Guoqiang
周正毅|Zhou Zhengyi
朱毛|Zhu Mao
猪的梦|Pig Dream
宗教压迫|Religious oppression
走光|Emptied
做爱|Sex
新浪管理员|Sina administrator
老虎机|Slot machine
远红外透视仪|Far-infrared instrument perspective
扑克仪器|Poker equipment
博客管理员|Blog administrator
办文凭|Office diploma
播客管理员|Podcasts Administrator
空间管理员|Space administrator
论坛管理员|Forum Administrator
删除负面信息|Remove the negative information
系统讯息|System Message
管理|Management
苏家屯|Sujiatun
日本使馆|Japanese Embassy
日本领事馆|Japanese Consulate
抵制日货|Boycott
日本大使馆|Japanese Embassy
江氏|Jiang
江氏控制权力|Jiang's grip on power
江氏控制|Jiang control
江氏控|Jiang control
8964|
退出中|Exiting
透视眼镜|Perspective glasses
透视手机|Perspective phone
淫妇|Adulteress
性爱聚会|Sex party
操你吗|Fuck you do
插b|Insert B
自慰|Masturbation
露奶|Dew milk
兽交|Bestiality
uc官方|uc official
信息中心|Information Center
uc官方|UC official
毛泽东|Mao
3p|
核心|Core
info|
administrator|
admin|
温如春|Wen Ruchun
系統信息|System Information
六四在行动|Sixty-four in action
李克強|Li Keqiang
習近平|Xi Jinping
賈慶林|Jia Qinglin
溫家寶|Wen
胡錦濤|Hu
臊逼|Bashfulness force
自拍|Self
朱镕基|Zhu
镇压|Repression
泽民|Zemin
幼女|Young girl
一夜情|One Night Stand
一夜|Night
养眼|Seductive
消息|News
系统|System
文凭|Diploma
王建军|Wang Jianjun
推油|Push oil
通知|Notification
贪官|Corrupt
丝袜|Stockings
首富|Richest man
少女|Maiden
少妇|Young woman
三个代表|Three
肉棒|Roubang
人体|Human body
妻子|Wife
女优|Actress
美女激情|Beauty passion
美国|United States
马克思|Marx
马宝|Marble
裸露|Bare
吕秀莲|Annette
流氓|Rogue
林彪|Lin Biao
两个中国|Two-China
李禄|Li Lu
经文|Scripture
精英|Elite
激情|Enthusiasm
公司|The company
富婆|Fupo
风骚|Coquettish
非典|SARS
放纵|Indulgence
代理|Proxy
大校|Colonel
大亨|Tycoon
处女|Virgin
冰火|Addict
贝领|Tony collar
澤民|Zemin
屄|Vulva
傒统信息|Servant system information
ze_min|
rui_huan|
rongji|
rong_ji|
li_peng|
dafa|
16大|16 large
喜讯|Good news
成人黄站|Adult yellow station
激情片下载|Passionate movie download
我爱我色网址|I love I'm sexual url
浴室干骚女系列|Bathroom fucking and harassing women series
操烂骚货|Parade rotten tart
成人聊天室|Adult chat rooms
美女qq裸舞|QQ dance naked beauty
我做骚妻|I'm a slutty wife
性爱淫图|Figure kinky sex
一本道电影|A road movie
美女b毛图|Beautiful woman pubic hair picture
成人网站导航|Adult site navigation
龟头对准阴道|Glans alignment vagina
插姐姐嫩穴|Fuck sister's soft vagina
淫穴里骚水|Cum in kinky hole
色情倚天屠龙记|Porn Sabre
老师的小穴|Teacher's pussy
淫奸电影|Kinky rape movies
我要性交网|I want sex network
淫网|Kinky Network
淫妹妹|Kinky sister
交换姐妹花|Exchange sisters
淫欲城堡|Lust Castle
艳遇编年史|Aventure Chronicles
少妇白洁|Young wife white clean
我的美女后宫|My beautiful harem
露b|Exposed vagina
性开放俱乐部|Is open to club
现代艳帝传奇|Yan Emperor modern legend
淫术炼金士|Kinky technique alchemist
倚天屠龙别记|Kung Fu do not remember
星光伴我淫|Walk with me kinky
美少妇的哀羞|Beautiful young wife's mourning and shame
逃亡艳旅|Escape brilliant trip
十景缎|Ten satin
不良少女日记|Bad girl diary
我的性启蒙老师|My sex teacher
学生妹|School girl
e夜情|one night stand
激情自拍|Passion Self
激情视频|Passion video
阴蒂|Clitoris
口暴|Port storm
激情小电影|Small Passion movie
阴户|Vagina
乱伦|Incest
三级片|Porn
催情粉|Aphrodisiac powder
淫叫|Yinjiao
开苞|Kaibao
露毛|Thoen, goog
乱交|Promiscuity
奶子|Breast
喷精|Fine spray
阴门|Vulva
阴囊|Scrotum
草榴|Grass pomegranate
群交|Group Sex
嫩穴|Nenxue
成人影院|Adult theater
兼职妹妹|Part sister
淫穴|Yin Xue
兼职小姐|Miss Part
xl51uc|
四二六社论|April 26 editorial
吾尔开西|Wu'erkaixi
吾尔凯西|Wu'erkaixi
吴仁华|Wu Renhua
北京之夏|Beijing's summer
刘晓竹|Liu bamboo
刘宾雁|Liu Binyan
六四事件|June incident
六四风波|Sixty-four storm
六four|Six four
六*四|Six * Four
八平方事件|Eight square Event
八jiu|Eight jiu
法学教授袁红冰|Law professor Yuan Hongbing
民主歌声献中华|Concert for Democracy in China
梁擎墩|Liang Qingdun
李淑娴|Li Shuxian
广场四君子|Four Gentlemen of Tiananmen Square
封从德|Feng Congde
坦克压死大学生|Students tanks crushed
坦克压学生|Pressure tanks students
国殇之柱|Pillar of Shame
乌尔凯西|Ur Casey
八的二次方|Quadratic eight
颠覆国家政权|Subversion of state power
李鹏日记|Li diary
八9六4|Eight nine six four
六四真相|Tiananmen truth
广场上的热血|Blood on the square
liu晓波|liu Xiaobo
8玖|8 Nine
燃烧瓶|Molotov cocktails
biz|
org|
乳头|Nipple
綉|Show
肏|Fuck
穴|Cave
六间房|Six rooms
gua|
kk18|
99cu|
happy88|
lele08|
惈|Guo
eu|
ww w|
je|
tv|
ｗｗｗ|
net|
cn|
com|
秀|Beautiful
ddn|
倮|Luo
ｃｏｍ|
ｃｎ|
ｎｅｔ|
ｈｔｔｐ|
ｃｎ|
ｎｅｔ|
ｃｏｍ|
tc|
ｉｎｆｏ|
ｗｗｗ|
ｈｔｔｐ|
tf|
www|
ｉｎｆｏ|
唐|Tang Dynasty
im|
成人|Adult
脱|Take off
vg|
at|
骡|Mule
ｃn|
bit|
gd|
ｃ ｎ|
ｃ ｏｍ|
ｃｏ ｍ|
脫|Take off
运營|Operations
co m|
c n|
ne t|
n et|
ｎ ｅｔ|
ｎｅ ｔ|
ｗｗ ｗ|
ｗ ｗｗ|
w ww|
百老汇|Broadway
裸|Naked
瓜瓜|Guagua
w w w|
酷6|Cool 6
呱|Quack
躶|Luo
露点|Dew point
免费|Free
收费|Toll
阳萎|Impotence
網址|Site
c om|
hk|
捰|Luo
网址|Site
地址|Address
馃|Guo
骒|Ke
to|
奂|Huan
gs|
、|
咪咪|Mimi
猓|Guo
ie|
腂|Guo
粿|Cakes
st|
am|
us|
泄|slip
射|ejaculate
kz|
唐人街|Chinatown
干我|Fuck me
騍|Ke
锞|Ingot
褁|Guo
堁|Ke
乳|Milk
脫光|Naked
x10|
lnk|
wk|
jm|
趾|Toe
网站|Website
mu|
lc|
輠|Guo
蜾|Eumenes pomiformis
髁|Condyle
猡|Luo
綶|Guo
淉|Guo
婐|Wo
餜|Pastry
cr|
奶|Milk
酷六|Cool six
脫光光|Strip light
tk|
nu|
cm|
錁|Ingot
境外势力|Foreign forces
新疆恐怖分子|Xinjiang terrorists
騾|Mule
婊|Prostitute
妈|Mom
操|Exercise
范长秘|Fan Changmi
郭正钢|Guo Zhenggang
党魁|faction leader
姜野飞|Jiang Yefei
薄周政变|Bo-Zhou coup
明镜网|Der Spiegel news
明镜博客|Der Spiegel blog
vnsc1|
习匪|Xi bandit
异教徒|Heathen
圣战战士|Jihad fighters
网　址|Website
摞聊|Pile chat
.cn|
性交易|Transactions
上门服务|On-site service
成人视频|Adult Video
打炮|Shelling
鸡婆|Gods
美女裸体|Beautiful nude
美女援助|Beauty aid
美女电话|Beauty phone
公关包养|PR nurturing
全套包夜|A full night package
sm服务|SM Service
三陪|Escort
上门援交|Home enjo
上门提供|Home to provide
良家性息|Decent of interest
一对一|One to One
小姐|Miss
3p乱交|3p promiscuity
情色网|Erotic Network
色情电影|Porn
情色电影|Erotic Movie
av女优|av Actress
av|
种子下载|Seed download
无码|Uncensored
不良少女|Bad girl
草榴影院|Grass pomegranate theater
黄色影院|Yellow theater
东京热|Tokyo Hot
迷奸|GHB
黄色动漫|Yellow cartoon
免费成人|Free adult
欧美成人|European and American adult
欧美情色|European and American Erotica
强奸|Rape
人兽|Man and beast
日本成人|Japanese adults
日本黄片|Japanese porn
日本幼女|Japanese girl
日韩av|Japan and South Korea av
色咪咪|Se Mimi
色情|Porn
哇嘎|Wow Ga
一本道|A Road
tnt|
c4炸药|C4 explosives
炸药配方|Dynamite recipe
吸毒|Drug
溜冰|Ice skating
赌坊|Dufang
赌房|Gambling house
赌博|Gambling
坐庄|Zuozhuang
c	o	m|
习精瓶|Xi fine bottle
吸精瓶|Absorption fine bottle
慶豐帝|Qingfeng Timor
習胖|Xi Fat
習胖胖|Xi fat
習胖子|Xi Fat
習二胖|Xi two fat
習三胖|Xisan fat
習大腦袋|Xi big head
習大頭|Xi bulk
習大臉|Xi big face
習狗|Xi dog
習歪歪|Xi YY
習賊|Xi thief
習做夢|Xi dream
刁書記|Diao Shuji
刁總|Diao total
洗盡平|Xi Jin Ping
習匪|Xi bandit
習特勒|Xi Teller
王雞山|King Chicken Hill
習二逼|Learning two force
習二平|Xi two flat
習禁評|Ban Xi comment
習夢思|Xi Mengsi
習精瓶|Xi fine bottle
習二夶|Xi two 夶
庆丰帝|Qingfeng Timor
包子帝|Emperor buns
习胖|Xi Fat
习胖胖|Xi fat
习二胖|Xi two fat
习三胖|Xisan fat
习大脑袋|Xi big head
习大头|Xi bulk
习大脸|Xi big face
习狗|Xi dog
习歪歪|Xi YY
习贼|Xi thief
习做梦|Xi dream
刁主席|Diao President
刁书记|Diao Shuji
刁大大|Diao greatly
刁总|Diao total
刁近平|Diao nearly flat
洗尽平|Xi Jin Ping
刁-大犬|Diao - Big Dog
习特勒|Xi Teller
王鸡山|King Chicken Hill
习二逼|Learning two force
习二平|Xi two flat
习禁评|Ban Xi comment
习梦思|Xi Mengsi
彭大麻|Peng marijuana
习包子|Xi buns
美国神韵|American charm
666|
不6|No 6
奸|Evil
权力分布图|Power distribution
回良玉|Hui Liangyu
吉林帮|Jilin help
大权独揽|Helm
嘭骂骂|Mama bang
周永康自辩书|Zhou Yongkang self-defense book
政变完整版|Coup full version
刀把子习|Dao child learning
飞猪骑士|Flying Pig Knight
中纪委|CCDI
终结一党专制|End one-party dictatorship
李源潮|Mr Li
网 址|Website
嚸|Dim
暴徒|Thug
色聊|Color chat
典改点|Code change point
市政府|City Hall
乌市 游行|Urumqi parade
全能神|Almighty God
大秀|Big show
刘云山|Liu Yunshan
刘奇葆|LiuJiBao
傅振华|Fu Zhenhua
栗战书|Li gauntlet
选择性反腐|Selective anti-corruption
tl/9l58|
控股安泰集团|ING Group Holdings
铲除异己|Elimination of dissidents
政治清洗|Political Cleaning
主席终身制|Chairman of tenure
彭丽媛|Peng Liyuan
艳照|Pornographic
仪仗队女兵|Female guard of honor
山东孙文广|Shandong Sun Wenguang
艾力.买土送|Soil send Eric Buy
访民自由|Petitioners freedom
东突厥斯坦|East Turkestan
大毛拉教义|Maulana doctrine
伊斯兰之声|Sound of Islam
公道来了|Justice to the
奸诈走了|Treacherous go
突厥斯坦|Turkestan
大毛拉|Maulana
魔鬼的朋友战斗|Devil's friends fighting
我们的道路|Our road
有教益故事|Instructive story
卡菲尔|Kaffirs
宗教解释|Religious interpretation
527yl|
31tc|
qiyue98|
9158spx|
5186t|
wuaijiuba|
lfyle|
ummetislam|
kavkazcenter|
周恩来|Zhou Enlai
三去车仑|Sanqujulun
你妈逼|Your mother forced
作爱|Make love
乳房|Breast
睾丸|Testis
淫欲|Lust
射精|Ejaculation
操我|Fuck me
手淫|Masturbation
大腿的缝隙|Slit thigh
大腿缝隙|Thigh gap
大腿的缝里|Crevices thigh
大腿缝里|Thigh crevices
茎侯佳阴|Jinghoujiayin
尻|Tajiri
抗日|Anti-Japanese
天鹅绒革命|Velvet Revolution
颜色革命|Color revolution
插b|Insert b
摸b|Touch B
摸b|Touch b
肛胶|Anal glue
7gua|
k521|
y8848|
t218.|
y236.|
35e.|
4ne|
7qi|
qs58.|
sy00.|
vv1688.|
.21na.|
.1999n.|
.6u6.|
.7ne|
.jsqq.|
.pvs.|
.7u7.|
.dns.|
.1www.|
.nk4.|
.bydou.|
.mm9mm.|
.corn.|
.corn.|
.3xb.|
.sho.|
.xo0.|
.lqiang.|
.elhao.|
.elhao.|
.sh0.|
.cnob.|
.h1d114.|
.dkz888.|
.zmov.|
.t1u.|
.qq23.|
.530mi.|
.bak.|
.i1l.|
.mo7758.|
.7t1.|
.377k.|
.377k.|
.vc258.|
.881188.|
.0234.|
.bot4u.|
.k251.|
.8ku.|
v6969.|
.111n.|
7gua|
%2e|
w396.|
w396.|
.xiongmin.|
bg558.|
.mp125.|
ok256|
.mm267|
.5we|
script|
傻逼|Shabi
.3377.|
.7799.|
傻ｂ|Silly B
傻b|Silly B
草你妈|Grass your mother
王八蛋|Son of a bitch
.mp125.|
51vip.|
装b|Loaded B
装b|Loaded b
模b|B-mode
叉b|Fork B
mp199|
1000ai.|
k251.|
9s5.|
.guxx.|
icesea.|
.6e66.|
.hooi.|
.woniubi.|
.mm267.|
.baxun.|
.88cn.|
.uqc.|
.6699.|
.788p.|
.0055.|
.0807.|
.1a.|
.1a.|
.mp199.|
.bg558.|
.yyew.|
.764s.|
.01z.|
.764s.|
.01z.|
.518.|
.i567.|
.westmr.|
821|
.456k.|
.9496.|
.n3g.|
.1347.|
.360x.|
.29258.|
艳舞|Dancing
贱货|Bitch
545291777|
we666.|
草你娘|Grass your mother
烂比|Rotten than
全活|Full live
.669e.|
.669e.|
.0598sm.|
.5we.|
嫩b|Tender B
66693|
.xdan.|
.1035.|
.mm.|
.6w6w.|
.msm678.|
.uc456.|
.0576.|
.51vc.|
364381|
.tk696.|
老母|Mother
骚货|Tart
.cn.|
.ttko.|
63om|
63n|
444601|
q  q|
操b|B operation
cao|
503384828|
小b|Small B
你娘|Your mother
ｑ   ｑ|
大逼|Large force
um_ddddd|
乱轮|Chaos wheel
鸡情|Chicken Love
51|
边脱边聊|Edge off chatting
边脱边玩|Edge off while playing
倮聊|Luo chat
坐爱|Love to sit
正法|Dhamma
法輪功|Falun Gong
法輪大法|Falun Dafa
法輪功大法|Falun Dafa
verif_法轮功|VERIF_ Falun Gong
verif_9158|
verif_激情|VERIF_ passion
verif_法轮大法|VERIF_ Falun Dafa
mm走光|MM emptied
狗屎|Dog feces
贱逼|Cheap force
草你|Grass you
煞笔|Shabi
马眼|Horse eye
sm|
sm|
sex|
sex|
sex|
性伴|Partner
同性|Homosexual
3p|
淫|Kinky
骚|SAO
性游戏|Sex game
祼体|Naked body
搞b|Out B
摸奶|Touch milk
看鸡|Look chicken
鸡8|8 chicken
情夫|Lover
性感内裤|Sexy underwear
同性恋|Homosexual
语音性爱|Voice Sex
视频调教|Video tuning
乱抡|Chaotic whirl
找美女|Find beauty
色女|Color female
色男|Color man
爽死你|Shuangsi you
b肥|B fertilizer
操比|Operating ratio
同志|Comrade
妻肉|Wife meat
煽情|Sensational
毛片|MAO
偷情|Betrayal
变态|Metamorphosis
男同|Gay
女同|Lesbian
淫民|Kinky people
抵制家乐福|Carrefour boycott
五一不去家乐福|Fifty-one go Carrefour
不去家乐福|Go to Carrefour
五一 家乐福|Fifty-one Carrefour
51 家乐福|51 Carrefour
不去 家乐福|Go to Carrefour
拒绝 家乐福|Carrefour refused
罢买 家乐福|Carrefour boycott
拒买 家乐福|Carrefour boycott
家乐福 攻略|Carrefour Raiders
五一 家乐|Fifty-one music
王毅|Wang Yi
.cc|
.tw|
.to|
.gd|
.ws|
收费聊天|Pay chat
私密处|Private office
软件群发|Software mass
幸运码|Fortunately code
视聊|Depending on chat
李健|Li Jian
管理員|Administrator
系統管理員|System administrator
退出中國|Exit China
退黨|Resign
湘聊|Gordon chat
三湘|Sunshine
氯胺酮|Ketamine
咖啡因|Caffeine
安纳咖|Anna coffee
氟硝安定|Flunitrazepam
lsd|
安眠酮|Methaqualone
三唑仑|Triazolam
ghb|
丁丙诺菲|Ding propylene Sanofi
麦司卡林|Mescaline
pcp|
止咳水|Cough syrup
迷幻蘑菇|Magic mushrooms
地西泮|Diazepam
汽狗|Steam dog
射钉枪|Gun
猎枪|Shotgun
手枪|Pistol
沙鹰|Shaheen
仿真枪|Imitation guns
氢化纳|Sodium hydride
氢化钾|Potassium hydride
挂号器|Registration is
广告机|Advertising
骂人机|Curse machine
挂房间软件|Hanging room software
包射|Pack shot
果聊|Fruit chat
362756689|
高仿|High imitation
批发|Wholesale
零售|Retail
edns|
躶体|躶 body
mm52|
全倮|Full Luo
baohua|
不裸|Not bare
e情|E Love
按摩|Massage
治愈|Cure
代开|Behalf
扣|Buckle
