退出中共|Quit CPC
天安门学潮|Tiananmen Student Srike
记念六四|Memorize June 4
赵紫阳+六四自辩|
八酒六四|Homonym of 8964
六四学潮|
89民运+邓小平+镇压|
中共+血腥镇压+专制|
平反六四|Vindicate June 4
六四+公開信|
六四+坦克+屠城|
六四日記|June 4 Diary
六四+悼念+烛光晚会|
六四纪念馆|June 4th Memorial
六四+刘晓波|
天安门屠夫|Tiananmen Murderer
镇压学生+戒严部队+天安门广场|
六四+方励之|
六四+屠杀+赵紫阳|
六四+纪念+王丹|
江绵恒+软禁|
六四+中共+专制|
许家屯+六四|
六四镇压+中共|
六四+赵紫阳+坦克|
坦克+王维林+六四|
天安门+太子党+事件|Tiananmen Princling Event
六四+学潮+民运|
开枪+示威+1989年+天安门|
动乱+学潮+1989风波|
真相+共产党+64屠杀|
六四+天安门广场|
天安门虐杀|
六四纪念+维园|
历史的伤口+8964|
六四+坦克人+学生|
天安门大屠杀|Tiananmen Massacre
六四+赵紫阳+软禁|
六四+血案+邓小平|
李鹏+绝食的学生+天安门广场|
悼念+维园+六四|
六四+學生+民主運動|
六四大屠殺|June 4 Massacre
六四事件+鄧小平|
六四+血腥+鎮壓|
六四紀念館|June 4 Museum
六四+劉曉波|
鎮壓學生+戒嚴部隊+天安門廣場|
六四+屠殺+趙紫陽|
六四紀念+維園|
天安门事件|Tiananmen Incident
89年+北京戒严|
1989+屠杀+天安门广场|
1989+民主运动|1989 Democarcy Movement
六四学生领袖|
平反64|Vindicate June 4
血腥+天安门|Bloody Tiananmen
8964+屠杀+纪念|8964 Murder Memorial
六四+镇压+学生|
天安门镇压|Tiananmen Crackdown
89年+学潮+镇压|
六四+学生+民主运动|
自由西藏|Free Tibet
藏青会|Tibetan Youth Congress
西藏独立|Tibet Independence (Movement)
雪山狮子旗|Snow Lion Flag
自由亞洲電台|Radio Free Asia
wisalstudio+com|wisalstudio com
allah+yolida|
دىن+ئىسلام+يولۋاس|Faith/Religion is Islam
ئىسلام+ئاۋازى|Voice of Islam
ئاللاھ+يولىدا|
جەننەت+ئاشىق|
بولۇ+شەھىد|Become martyr
15日实行+全市大罢工+灌云+连云港|
通商宽衣|
习核心|Xi Core
台湾+声援+中国人权+律师|
中共的压力+禁止长平+被迫流亡|
港媒披露+400亿元+内鬼就在会议室|
联合早报网讯+特朗普+蔡英文通电话|
中国政府发起+挑衅行为+分离省份|
特朗普此舉+激怒中國+背叛國家的省份|
激怒中国政府+特朗普+外交争端|
习近平逗逗闷子+中共当局+假选举|
中国流亡异见人士呼吁特朗普关注人权|
习近平打交道+麻烦之一+危机更加失控|
下午7点+春熙路集合+正视雾霾根源|
向中央示好+教育系统开始清理+自由派|
港独+香港民族党召集人陈浩天|
港獨+香港民族黨召集人陳浩天|
占领中环+支持香港抗争|
梁振英的命运+中共统治+它的红线|
中国当局+罔顾家属意愿+中共专制政权|
中國當局+罔顧家屬意願+中共專制政權|
当局强拆+喝药自杀的悲剧+14户拆迁户|
當局強拆+喝藥自殺的悲劇+14戶拆遷戶|
声援+西藏精神领袖达赖喇嘛|
聲援+西藏精神領袖達賴喇嘛|
中共当局+流亡藏人+达赖喇嘛|
达赖喇嘛+万岁|
民生观察网刘飞跃+中共|
严控信息+禁令的目的是阻止被当局认为有可能削弱共产党统治|
嚴控信息+禁令的目的是阻止被當局認爲有可能削弱共產黨統治|
使用威胁+党内调查+中共自己炮制|
分析文章+习近平的改革+腐败注资|
分析文章+習近平的改革+腐敗注資|
游蕙祯+今天统治着13亿+出卖中国人的血|
致习近平的批评性公开信+中穆网|
致習近平的批評性公開信+中穆網|
党为了政治+神州遍地生霾+各种蓝就出来|
自由将大大萎缩+迫使政府撤回+叶刘淑仪|
自由將大大萎縮+迫使政府撤回+葉劉淑儀|
毛式独裁+党内元老+提名继任者|
毛式獨裁+黨內元老+提名繼任者|
Jinping+autocracy+successor|
习近平缺少+一人独裁+容易操纵|
習近平缺少+一人獨裁+容易操縱|
选美冠军林耶凡+中国当局拒绝入境|
選美冠軍林耶凡+中國當局拒絕入境|
人权律师+江天勇+失踪|
人權律師+江天勇+失蹤|
江天勇+709+维权律师|
江天勇+709+維權律師|
流亡美国+乌坎村民+武力镇压|
流亡美國+烏坎村民+武力鎮壓|
习近平+铁腕手法+大权独揽|
習近平+鐵腕手法+大權獨攬|
异议人士彭明+强烈质疑+拒绝前往中国|
異議人士彭明+強烈質疑+拒絕前往中國|
维权人士+诺贝尔和平奖+刘晓波|
維權人士+諾貝爾和平獎+劉曉波|
外长李大维+谴责圣国+待价而沽|
外長李大維+譴責聖國+待價而沽|
起诉北京+政府不正确履行+防治责任违法|
起訴北京+政府不正確履行+防治責任違法|
访民廖建军+中南海喊冤+当局+打击上访|
訪民廖建軍+中南海喊冤+當局+打擊上訪|
中央政府+無法猜透+中南海高層|
中央政府+无法猜透+中南海高层|
镇压民众+六四天网+大陆被封锁|
人被弄死+编造故事+雷洋案|
人被弄死+編造故事+雷洋案|
推翻共产党+政变+习近平|
周永康的亲信+王建平+被带走|
Yongkang+Xi+corruption|
不予起诉+法治耻辱+历届校友|
共产党高层+整肃涉台+恫吓台湾|
学生游行+六四镇压|
频繁攻击+伊斯兰恐惧症+穆斯林的仇恨|
新疆的分裂+发动恐怖袭击+压迫性政策|
维权组织+政府在新疆的高压政策+地区动荡|
Islam+Awazi|
揣测北京+忠于中共的一派+中国地下教会|
黄奇帆+取代杨晶+任国务院秘书长|
銅鑼灣書店+桂民海|
习近平+反腐运动+权力斗争|
習近平+反腐運動+權力鬥爭|
党内+权力斗争+薄熙来|
人权活动+公民社会+习近平|
stick+Jinping+freedom|
发动政变+周永康|
达赖喇嘛+1月3日+金刚灌顶法会|
達賴喇嘛+1月3日+金剛灌頂法會|
Kalachakra+Dalai+Lama+Tibetan|
གོང་ས་༸+མཆོག|
གོང་ས་+མཆོག|
གོང་ས་མཆོག|
新闻自由公敌+习近平+再度上榜|
遭当局频繁禁言+网络封锁+中共对公共舆论|
达赖喇嘛+菩提伽耶+金刚灌顶法会|
達賴喇嘛+菩提伽耶+金剛灌頂法會|
बोधगया|Bodh Gaya 
बो|Bo
या|ya
丰台+公开信+清华校友|
雷洋案+央视的错+一个政权的错误|
雷洋案+央視的錯+一個政權的錯誤|
共产党垮台|CCP's downfall
声援西藏|Campaign for Tibet
聲援西藏|Campaign for Tibet
家族垄断国家+倒行逆施+投鼠忌器+中共政权|
家族壟斷國家+倒行逆施+投鼠忌器+中共政權|
举国体制+打造习近平+中国足球梦|
舉國體制+打造習近平+中國足球夢|
中国当局+温家宝的家族+屏蔽时报网站|
中國當局+溫家寶的家族+屏蔽時報網站|
纽约时报+温家宝家族财富|
被抓+江泽民|
被抓+江澤民|
公开信联署+谢小玲发起+雷洋| 
公開信聯署+謝小玲發起+雷洋|
至高无上的领袖+达赖喇嘛尊者|
政治上失势+拥毛造势+独裁大恶|
习近平上台+官员自杀+非正常死亡|
遍地是灾+一党独裁+中国|
乌坎村民+土地维权+当局非法打压|
烏坎村民+土地維權+當局非法打壓|
维权人士+中共+打压|
ལྷག་དཀར|Lhakar
被警方击毙+李长福+仍遭警察|
被警方擊斃+李長福+仍遭警察|
中共政权反击+试图清洗+政治伦理|
中共政權反擊+試圖清洗+政治倫理|
民主抗争+有钱人垄断+反对中共|
民主抗爭+有錢人壟斷+反對中共|
李立国+贪腐大案+包养了11名|
大抓捕+深圳+邓剑峰+监视居住|
习近平将破例+出席达沃斯论坛+寻求连任|
習近平將破例+出席達沃斯論壇+尋求連任|
刘飞跃+非法维稳+殃及家属|
劉飛躍+非法維穩+殃及家屬|
34届时轮金刚大灌顶+尊者|
34屆時輪金剛大灌頂+尊者|
中国当局+达赖喇嘛+流亡藏人|
李立国+在任期间落马+小金库|
宫内节育器+强迫性的残害+中国政府|
宮內節育器+強迫性的殘害+中國政府|
དུས་དབང+དངོས་གཞི|
བོད་མི|
習核心|Xi Core
性愛視頻+張曉江利用+進行打壓|
性爱视频+张晓江利用+进行打压|
尖锐问题+中国当局迟迟不提交补充报告+回避联会国|
香港的人权+倒退的状况+免於恐惧|
香港的人權+倒退的狀況+免於恐懼|
习近平+公开信|
習近平+公開信|
銅鑼灣書店+員工失蹤事件+旺角騷亂|
铜锣湾书店+员工失踪事件+旺角骚乱|
新浪帮我强制休假+被请过喝茶|
南德意志报+妖魔化成新敌人+习近平+充满了讽刺|
南德意志報+妖魔化成新敵人+習近平+充滿了諷刺|
德国之声+习近平+民粹主义+达沃斯|
德國之聲+習近平+民粹主義+達沃斯|
马云+中共当局传话者+习近平探路|
馬雲+中共當局傳話者+習近平探路|
邓相超+毛粉+当局的打手|
鄧相超+毛粉+當局的打手|
六四+抗议+声援香港|
不准非议+中国共产党领导+网上流传|
习近平+川普进行了+含蓄的批评|
習近平+川普進行了+含蓄的批評|
孟建柱+习近平+辱毛推墙|
孟建柱+習近平+辱毛推牆|
七不讲+不能讲+普世价值+高瑜|
维权事件频发+企业倒闭潮+持续低迷|
維權事件頻發+企業倒閉潮+持續低迷|
各级人大+不合法+无底线自黑|
藏人协会+抗议活动+中共压迫|
藏人協會+抗議活動+中共壓迫|
危害国家安全+中国当局+严加控制|
危害國家安全+中國當局+嚴加控制|
习近平关系亲近+官僚气息+刘鹤的影响力|
Jinping+critical+Washington+elect|
必欲除之+祸国殃民+开历史的倒车|
达沃斯+习近平警惕贸易战+向美国喊话|
達沃斯+習近平警惕貿易戰+向美國喊話|
遭外界质疑+一例佐证+李克强|
人权律师+江天勇+秘密抓捕|
尊者+34屆時輪金剛灌頂|
约束公民+吹捧毛泽东+限制互联网|
約束公民+吹捧毛澤東+限制互聯網|
帐户已被删除+周强身居要职+效忠习近平|
民粹主义+习近平+响亮的耳光|
རི+རྒྱལ|
香港独立+维园年宵市场+被封的摊档+政治打压|
香港獨立+維園年宵市場+被封的攤檔+政治打壓|
江天勇+要求中国当局+下落|
江天勇+要求中國當局+下落|
限制了言论自由+习近平到访+大力干涉民主|
周强用充满火药味+俯首称臣+习近平从上台|
争取真普选+支持香港|
毛泽东发动+暴力的文革+习近平|
毛澤東發動+暴力的文革+習近平|
挑战特朗普+院长周强+司法独立发出的警告|
律师笔录+中国酷刑+谢阳|
律師筆錄+中國酷刑+謝陽|
Defenders+China+Human+Rights+arrest|
中国的审查者+血腥动乱+毛的政策|
中國的審查者+血腥動亂+毛的政策|
709+李春富+精神分裂|
达赖喇嘛+中间道路+西藏|
達賴喇嘛+中間道路+西藏|
反抗中共|Fight Agasint CCP 
失踪+中国维权律师关注组|
维权律师关注+酷刑程度+高智晟|
中国政坛+党内自由派+清洗残余|
被习近平利用+清除政敌+独立司法|
被習近平利用+清除政敵+獨立司法|
周強下台+網絡的封殺+十九大晉身|
遑论最高法院+周强院长辞职+拱手送给西方|
谨以公民身份+敦请周强院长+引咎辞职|
謹以公民身份+敦請周強院長+引咎辭職|
欧盟不停批评+关闭自己的市场+习近平|
歐盟不停批評+關閉自己的市場+習近平|
远华+贾庆林+江泽民|
惩罚中国+自身垮台+习近平|
逼迫北京+一边倒的贸易+阻止特朗普|
逼迫北京+一邊倒的貿易+阻止特朗普|
习近平+纳那亚卡拉分析+腐败的根源|
習近平+納那亞卡拉分析+腐敗的根源|
网络黑屋子+中国政府+审查和控制|
胡春华+陪同下逛西湖路花市+习近平正面支持|
高调曝光+习近平的正面+十九大前奏|
胡春華+陪同下逛西湖路花市+習近平正面支持|
高調曝光+習近平的正面+十九大前奏|
谢阳刑讯逼供+控告后援团|
謝陽刑訊逼供+控告後援團|
春晚+愚民工程+萎大的奴隶制度|
春晚+愚民工程+萎大的奴隸制度|
自焚抗议+达赖喇嘛+中共+人权|
中共当局+摧毁西藏+支持西藏|
上海帮+团派+习近平|
包括春晚+威权国家+寄生宿主|
包括春晚+威權國家+寄生宿主|
facebook+习近平+开户|
被抓+肖建华+香港|
被抓+肖建華+香港|
abducted+corruption+Chinese+Jianhua|
陈破空+清算VPN+诸如六四周年|
封杀VPN+习近平完成集权+十九大|
封殺VPN+習近平完成集權+十九大|
谢阳+陈建刚+被抓捕+被审讯|
谢阳+指定监视居住+轮班审讯|
謝陽+指定監視居住+輪班審訊|
文化大革命+精神是自由的+谢阳本人无罪|
文化大革命+精神是自由的+謝陽本人無罪|
肖建华+习|
肖建華+習|
六四+肖建华|
被控制+肖建华+明天系|
被控制+肖建華+明天系|
肖建华+八九民运|
肖建華+八九民運|
黄琦+维权人士+六四天网|
酷刑+维权律师+高智晟|
习近平+中共暴政|
習近平+中共暴政|
肖建华+近平|
肖建華+近平|
天安门+博物馆北侧+交通事故|
天安門+博物館北側+交通事故|
权力斗争+习近平+太子党|
權力鬥爭+習近平+太子黨|
习近平+习家军+忠于自己|
大抓捕+709+谢阳+维权律师|
大抓捕+709+謝陽+維權律師|
胡石根+大抓捕+秘密审判|
709大抓捕+人权捍卫者+剥夺会见权|
失联+曾飞洋+劳工|
709+大抓捕+指定居所监视|
中国大陆+王全璋的妻子+家属的打压|
须有的构陷+江天勇+报复和打压|
須有的構陷+江天勇+報復和打壓|
探望江天勇+中国当局+有些顾忌|
看望遭羁押+起诉公安部+江天勇|
李文足+消除影响+颜色革命|
李文足+消除影響+顏色革命|
王峭岭+中共+709大抓捕|
王峭嶺+中共+709大抓捕|
中共暴政+唐荆陵+家属被打压|
中共暴政+唐荊陵+家屬被打壓|
习近平独裁+特朗普+任意逮捕记者|
習近平獨裁+特朗普+任意逮捕記者|
张德江+中央唯一支持的人选+钦点|
天安门+恐怖袭击+翻车|
颠覆国家政权+中国人权+秦永敏|
中国人权+批评中国政府|
肖建华+中共权斗+曾庆红|
肖建華+中共權鬥+曾慶紅|
江泽民+曾庆红+大老虎|
肖建华+声明+被绑架+被删除|
肖建華+聲明+被綁架+被刪除|
肖建华+邓家贵|
肖建華+鄧家貴|
央妈的智慧之处+财务欺诈+自家那本帐|
央媽的智慧之處+財務欺詐+自家那本帳|
中共19大+习近平+第二个任期+如何强硬|
江泽民时期+放纵腐败+胡锦涛+被架空|
龙镇洋辞职信+加速再文革+政治体制+破灭|
重回文革+龙镇洋+寻求政治庇护|
重回文革+龍鎮洋+尋求政治庇護|
乌坎关注团+打着党旗+庄烈宏|
芮成钢+中国当局+周强胡吹海吹|
芮成鋼+中國當局+周強胡吹海吹|
威胁中共+下令媒体避免报道+特朗普不利|
威脅中共+下令媒體避免報道+特朗普不利|
习近平+煽动民粹+专制者的惯用|
習近平+煽動民粹+專制者的慣用|
人权问题+中国+民众抗议|
习近平上台+对外援助+到处乱撒钱|
特别是习近平为+提供巨额援助+老百姓抱怨|
反人类+中国文革回潮+共产党的暴政|
共产党暴力+中共意识形态+旅美中国民运|
中国政府+限制藏人旅行+刁难出国|
中國政府+限制藏人旅行+刁難出國|
被关押+贾庆林|
不重王道+政治控制毫不放松+习近平|
六四+镇压+屠城|
权平+习近平+煽动颠覆国家政权|
權平+習近平+煽動顛覆國家政權|
习包子+大撒币|
習包子+大撒幣|
达赖喇嘛+抗暴+西藏流亡政府|
達賴喇嘛+抗暴+西藏流亡政府|
肖建华+压力太大+大陆|
肖建華+壓力太大+大陸|
出版禁书+当局+铜锣湾书店|
习子规|
習子規|
红军小学+洗脑教育+中共军队|
紅軍小學+洗腦教育+中共軍隊|
皮山+袭击+出事|
维权组织+新疆的高压政策+地区动荡|
暗杀同父+毒针杀害+金正日|
暗殺同父+毒針殺害+金正日|
皮山+暴恐+击毙|
政府强烈制止+不许碰金正男+中国当局|
政府強烈制止+不許碰金正男+中國當局|
中共决策层+特殊权力结构+攫取财富|
中共決策層+特殊權力結構+攫取財富|
金正恩下令+刺杀自己的兄长+黄映镜教授|
金正恩下令+刺殺自己的兄長+黃映鏡教授|
异议人士+黑影幢幢+中共政权|
異議人士+黑影幢幢+中共政權|
对权力构成挑战+独裁统治+取代金正恩|
對權力構成挑戰+獨裁統治+取代金正恩|
powerful+Chinese+Xi+leader|
独裁的金氏政权+沮丧与失望+受到北京的保护|
獨裁的金氏政權+沮喪與失望+受到北京的保護|
退伍老兵+军委大楼+维权+进京上访|
奥斯卡自由人权奖+王宇律师+维权人士|
激烈反弹+曾俊华当选+中央将不会任命+质疑选委|
激烈反彈+曾俊華當選+中央將不會任命+質疑選委|
江派+梁振英|
法学界人士+联名要求+周强下台|
中国退伍军人+维权+八一大楼|
不忘抗争+习近平+中国女政治犯|
习近平+诺贝尔和平奖+刘晓波|
王岐山+江系+曾庆红+调查+架空|
雲南省長+讀錯字醜聞+撫優湖|
宽衣通商+镇越铁路|
寬衣通商+鎮越鐵路|
习近平+江系|
習近平+江系|
退役军人+中纪委+任国强|
访民黄伦+撬门抄家+北京上访|
訪民黃倫+撬門抄家+北京上訪|
政策的牺牲品+梁振英的维稳+中共改造|
街头政治+大陆横行霸道+中共红二代|
街頭政治+大陸橫行霸道+中共紅二代|
党报和五毛+中共念念不忘+改造香港|
黨報和五毛+中共念念不忘+改造香港|
政治歌+彭丽媛并立+高层雷厉风行|
中共官员+抛弃统战+难逞所愿|
两会疯狂维稳+截访者+冲击旅馆+韩素华仰药|
兩會瘋狂維穩+截訪者+衝擊旅館+韓素華仰藥|
沙雅监狱+张海涛+期满考试合格|
沙雅監獄+張海濤+期滿考試合格|
新疆当局+张海涛+良心犯|
低级的算法+暗批中国制裁+朝中社署名|
中国右派+夹边沟祭事+公开放映|
国际特赦+世界报告+西藏人权|
國際特赦+世界報告+西藏人權|
境内藏人+中共的打压+政治犯数据库|
境內藏人+中共的打壓+政治犯數據庫|
郭树清+充满欺诈+金融系统|
曾荫权+大陆的官员+大大清官|
政治目标+被我们忽视+深度官僚|
政治目標+被我們忽視+深度官僚|
power+Xiaoping+authoritarian|
金家王朝+指责中国+中朝关系的恶化|
Jinping+erratic+ruling+Kim+dynasty|
德国之声+习近平+红色紧箍咒|
支持达赖|Support Da Lai
访民曾宪武+中共镇压+此次两会|
訪民曾憲武+中共鎮壓+此次兩會|
特首梁振英+进政协+引发争议|
张书国仕途+清毒工作+肃清郭徐|
張書國仕途+清毒工作+肅清郭徐|
权力过渡+一个中国+非要受制|
谭晶已转入+云南代表团+军改大裁员|
全面被禁+人大代表+约合3万亿+德国之声|
全面被禁+人大代表+約合3萬億+德國之聲|
人权迫害+习近平+极端压制|
习近平+富翁代表+巨额财富|
香港26名+俞正声+反对梁振英|
共产党+能保持稳定+地震可能不会|
习近平是否+巩固自己+新领导层的控制|
共产党+领导人的权力+持着一种约束|
虽然习近平+新领导层+交易的牺牲品|
邓茂生的说法+最高层的意见+没有报道|
习近平+政治皮影戏+想象的傲慢|
彭博社报道+邓茂生说+七上八下|
王岐山的猜测+10月开始+年龄的规定|
习近平+曾在+年龄的规定不是绝对的|
习近平+曾淡化+七上八下的规定|
习近平+还没+王岐山留任+发出了信号|
王岐山放弃+他担任过+混乱的政府|
王岐山+党威权统治+深红色信念|
王岐山+麦卡维尔+只不过+国家控制之下的系统的效率|
负债累累+习近平可能+王岐山担任总理|
替换李克强+重启停滞+改革提供|
邓聿文说+让王岐山+让出这个权力|
李克强+都做不成+权力不在他手|
退休官员说+王岐山曾+应对未预料|
王岐山+网上泄露出来+党叫干啥|
互相矛盾+显得尴尬+中国+双重标准|
习近平+西方舆论大多解释+更重要的是国王|
習近平+西方輿論大多解釋+更重要的是國王|
十九大+习近平+迫切地打造个人舞台|
习近平+不以为然+不想误导民众|
習近平+不以爲然+不想誤導民衆|
努力表演+习近平+显然并不买账|
努力表演+習近平+顯然並不買賬|
两会明星+宣传部门的批评+朝圣仪典|
兩會明星+宣傳部門的批評+朝聖儀典|
中国大陆在发展对台政策的过程中+BBC中文网+不予回应|
习近平第一个任期的成绩单|
习近平+程序的承诺+支持者满怀信心|
乐观情绪+信贷的规模+小变化+习近平|
习近平+臭名昭著的一孩政策+强迫堕胎|
習近平+臭名昭著的一孩政策+強迫墮胎|
习近平+经济改革+只是一纸空头支票|
習近平+經濟改革+只是一紙空頭支票|
习近平+口头上谈改革+紧紧抓住权力|
習近平+口頭上談改革+緊緊抓住權力|
并不掩饰+对习近平+没有付现的失望|
並不掩飾+對習近平+沒有付現的失望|
要倒回来+习近平+承诺的改革+面前退缩|
要倒回來+習近平+承諾的改革+面前退縮|
经济衰退+习近平+最大疑问+逃离中国|
經濟衰退+習近平+最大疑問+逃離中國|
习近平+债务上升+不会得到+变得更糟|
習近平+債務上升+不會得到+變得更糟|
习近平执政+亿万富翁+成为了立法者|
人大和政协+富有的成员+习近平上台|
人大的代表+没有太大实权+交际的地方|
党开始欢迎+富人成员加入+增强权威性|
中国制造+德新社援引+要排挤外国|
中国政府+维稳+下岗工人+苦求生存|
中國政府+維穩+下崗工人+苦求生存|
罗富和+公开批评+网路审查制度|
羅富和+公開批評+網路審查制度|
罗富和+公开批评+严密的网路审查|
羅富和+公開批評+嚴密的網路審查|
不透明的+军费+北京要瞒|
不透明的+軍費+北京要瞞|
制裁韩国+北京+显得无能|
制裁韓國+北京+顯得無能|
部署萨德+反对一个中国+抗议的套路|
独立候选人+遭到打压+北京|
疫苗安全+公民提案+呼吁提升+政府应当尽早|
中共当局拘捕+传唤骚扰+示威者|
屠杀藏人|Murder Tibetans
掌握在中央政府+非常不民主+中央内定的人选|
掌握在中央政府+非常不民主+中央內定的人選|
鲍彤+习近平+政治上他要求的集权|
人权状况+人权报告+西藏|
人權狀況+人權報告+西藏|
压制+中国政府+达赖喇嘛|
同床异梦+习近平+一身的权力+乏善可陈|
萨德+入韩标志东北亚+形成冷战式敌对|
抵制乐天+政府操纵+早上恨美国|
抵制樂天+政府操縱+早上恨美國|
血洗中国+反恐维稳+中国当局|
血洗中國+反恐維穩+中國當局|
网络长城+屏蔽了政治敏感+全面解禁|
網絡長城+屏蔽了政治敏感+全面解禁|
天朝主义+中国专制极权+政治压力|
天朝主義+中國專制極權+政治壓力|
李平+香港新闻自由+天朝主义|
李平+香港新聞自由+天朝主義|
裙带资本+邓小平经济+专制模式|
裙帶資本+鄧小平經濟+專制模式|
首尔威胁+中共的报复+本来面目|
做着中国梦+净捡软的捏+祖国让我恨谁|
既得利益者+异议人士+两会拍手+中共|
既得利益者+異議人士+兩會拍手+中共|
李克强+公开信|
李克強+公開信|
梁振英的名牌+握手寒暄+香港民主派|
两会的气氛+薄熙来倒台+对中共而言|
薄熙来路线+习近平+区别於邓江胡|
薄熙來路線+習近平+區別於鄧江胡|
中共的黑幕+政治独裁+雾霾和雷阳案|
中共的黑幕+政治獨裁+霧霾和雷陽案|
习近平+崇毛情结+搏取上位+高层内斗|
習近平+崇毛情結+搏取上位+高層內鬥|
薄熙来不垮台+保住身家+权力分配+习近平|
中共+权力斗争+政变|
薄熙来倒台+习近平时代+搞权力斗争|
习薄斗争+尤其毛左派+遭到报复|
集体自卫+中共一直利用+军事化辩护|
中共御用网络+习近平+袒护金家王朝|
中国官方媒体+号召民众+抵制韩货+民众报复|
卜睿哲+习近平选择+朴槿惠等了很久|
卜睿哲+习近平的态度+形成鲜明对比|
毒害学生+培育民族仇恨+洗脑教育|
毒害學生+培育民族仇恨+洗腦教育|
郭文贵+爆料|
郭文貴+爆料|
郭文贵+专访|
郭文贵+电视|
郭文贵+习近平|
郭文贵+吴征|
明镜+郭文贵|
郭文贵+贺国强|
郭文貴+賀國強|
郭文贵+李源潮|
郭文貴+李源潮|
郭文贵+令计划|
郭文贵+中共|
两会是一场政治秀+政治斗争+习近平|
兩會是一場政治秀+政治鬥爭+習近平|
习近平+知识界的压制太狠+恶劣印象|
習近平+知識界的壓制太狠+惡劣印象|
习近平+压制言论+自己的政权带来巨大威胁|
習近平+壓制言論+自己的政權帶來巨大威脅|
李克強+辭職|
习近平+巩固自己的权力+技术官僚总理|
習近平+鞏固自己的權力+技術官僚總理|
习近平+按照自己的设想+没有实权的虚位|
習近平+按照自己的設想+沒有實權的虛位|
接替李克强+习近平的亲信+中共|
接替李克強+習近平的親信+中共|
没有制定民法典+德国之声+从摇篮到坟墓|
沒有制定民法典+德國之聲+從搖籃到墳墓|
批评指向+一把手习近平+雏形基本|
批評指向+一把手習近平+雛形基本|
迅速倒退+习近平难保+政权还能坐得稳|
德国之声+要求北京对朝鲜+中国大为不满|
德國之聲+要求北京對朝鮮+中國大爲不滿|
北京试图在台湾+制造混乱+共谍渗透国防|
中共党魁+江泽民|
习特勒 |Xitler
两会+习近平+政治斗争 |
口头上谈改革+紧紧抓住权力+习近平|
周强+习近平+团派 |
逃离中国+经济衰退+最大疑问+习近平|
郭+贺国强|
江绵恒+纪委|
习家军+大权独揽+十九大|
郭+李源潮|
中間道路+達賴喇嘛|
習特勒 |Xitler
杀习大大|Kill Uncle Xi
殺習大大 |Kill Uncle Xi
十九大+王岐山+总理 |
曾庆红+江系+清理|
总理+公开信|
抓捕+江澤民|
趙紫陽+鄧小平+鎮壓學生|
被抓+曾慶紅|
總理+公開信|
王宇律师+撬门|
团派+十九大+江派 |
དུས་དབང+གོང་ས་༸ |
薄熙来不垮+政敌+李克强|
支持香港+占领中环 |
江派+上海帮+太子党 |
政治斗争+习包子|
郭+賀國強 |
被删除+江绵恒+谭晶|
郭+明镜|
温家宝+政变+江派 |
薄熙来+李克强+政敌 |
胡锦涛+权力+被架空|
江澤民+迫害+控告|
学潮+镇压学生+赵紫阳|
毛泽东+大权独揽+屠杀|
